DateTime,AddedIPs,RemovedIPs
1582008970,3,0
1582010894,2,0
1582014742,2,1
1582018599,0,5
1582022418,2,0
1582024357,0,1
1582026255,0,2
1582028433,0,7
1582032278,0,3
1582034172,0,2
1582038209,2,1
1582044014,1,0
1582045952,0,1
1582047853,0,1
1582051721,0,5
1582053619,2,0
1582055535,5,0
1582064434,6,0
1582066390,1,0
1582070202,1,1
1582072152,2,8
1582074245,2,4
1582076189,4,6
1582078093,0,2
1582080013,1,0
1582081949,1,0
1582085791,1,0
1582087710,3,6
1582089612,1,0
1582091530,0,1
1582093469,3,8
1582095370,1,3
1582097290,0,3
1582099380,2,0
1582101388,0,2
1582103304,0,1
1582109062,0,2
1582110979,1,0
1582125380,5,2
1582129300,2,0
1582131140,0,1
1582138948,0,2
1582140778,5,0
1582142684,0,5
1582146522,1,0
1582150603,0,6
1582152523,2,0
1582154422,0,1
1582156333,0,1
1582158272,6,1
1582160173,4,0
1582162156,0,8
1582164209,2,0
1582166433,1,1
1582168341,0,1
1582172176,0,1
1582174100,5,2
1582176028,15,1
1582177937,1,0
1582179871,1,3
1582181785,0,1
1582185715,0,2
1582187548,1,0
1582191370,1,0
1582197136,0,1
1582199068,4,0
1582206730,2,0
1582210583,0,5
1582215383,0,2
1582221134,3,0
1582227852,0,5
1582231711,0,1
1582235546,1,0
1582237467,1,0
1582239368,0,2
1582245396,4,3
1582247303,5,5
1582249213,7,2
1582253055,0,1
1582254975,1,0
1582256912,1,0
1582260744,13,13
1582262676,0,6
1582264570,1,1
1582266781,0,1
1582268754,1,0
1582274414,0,1
1582276352,1,1
1582284255,0,4
1582286187,1,0
1582292187,0,2
1582307547,0,2
1582313290,4,0
1582322177,3,1
1582324093,4,1
1582328908,8,0
1582330810,0,6
1582332729,1,6
1582334666,6,4
1582336570,2,1
1582338489,2,0
1582341377,0,1
1582343310,3,1
1582347129,4,14
1582350999,0,1
1582352912,5,0
1582354965,0,2
1582363000,8,1
1582370652,1,0
1582372585,0,1
1582374501,5,0
1582378588,1,0
1582380505,2,0
1582382420,4,0
1582384336,1,0
1582390094,1,0
1582395851,1,0
1582399690,0,4
1582405717,4,0
1582409535,0,3
1582411470,0,4
1582415323,0,8
1582417216,4,0
1582419129,0,1
1582421070,5,6
1582422971,9,2
1582424891,0,2
1582429034,1,2
1582430918,0,1
1582434750,11,5
1582436653,5,0
1582438577,5,4
1582442417,1,0
1582448170,0,1
1582450089,0,5
1582452160,2,0
1582454183,2,0
1582458072,1,1
1582461855,0,5
1582465710,0,1
1582467611,0,6
1582469532,0,1
1582473379,1,0
1582478412,0,1
1582482267,2,1
1582492104,0,4
1582494032,20,0
1582495948,3,0
1582503611,1,4
1582505547,1,1
1582507466,5,7
1582509373,5,9
1582511293,7,0
1582515383,0,1
1582517289,1,0
1582519209,1,0
1582521146,11,8
1582523048,0,3
1582524984,3,6
1582526905,2,0
1582528825,9,1
1582534569,1,0
1582536487,1,0
1582539374,0,2
1582541309,0,2
1582545150,0,1
1582559527,0,1
1582568173,10,4
1582570121,4,0
1582575887,19,0
1582581774,1,19
1582583782,3,3
1582587876,4,0
1582589781,5,1
1582591722,7,1
1582593613,8,6
1582595536,4,6
1582597473,0,7
1582605387,0,2
1582607294,8,10
1582609216,1,0
1582611149,2,2
1582613053,0,2
1582614972,0,9
1582622665,0,1
1582632493,1,0
1582640418,1,0
1582653129,0,10
1582656979,0,4
1582660932,0,15
1582662745,0,4
1582668522,0,1
1582670418,0,3
1582674165,0,4
1582676175,1,6
1582678106,2,7
1582680014,0,8
1582681929,0,4
1582683866,4,0
1582685770,6,0
1582693701,0,11
1582695626,0,1
1582697532,0,2
1582699456,7,0
1582703292,5,0
1582707133,1,1
1582717694,0,1
1582727303,0,1
1582755379,1,0
1582761171,1,1
1582763052,0,1
1582764993,0,1
1582769102,0,4
1582770983,1,1
1582773166,2,4
1582775054,2,0
1582784664,6,4
1582786572,0,2
1582788492,1,0
1582791616,0,6
1582793540,0,1
1582815153,5,0
1582820893,1,0
1582840333,0,1
1582844184,1,0
1582849027,2,1
1582852828,3,0
1582854728,1,0
1582856897,0,1
1582859004,0,3
1582860972,0,2
1582864822,1,0
1582866748,1,0
1582870584,0,6
1582874410,0,1
1582878255,1,0
1582885003,4,0
1582894616,5,0
1582898629,1,0
1582902526,0,4
1582906337,0,1
1582919804,4,0
1582931316,0,1
1582935144,0,2
1582938974,0,2
1582940894,0,2
1582942822,6,0
1582944730,1,0
1582946657,4,0
1582948596,2,0
1582950494,0,1
1582953626,1,1
1582957467,10,0
1582961288,1,0
1582965147,0,1
1582968970,1,0
1582970919,1,4
1582976911,15,0
1582980733,7,5
1582986495,0,1
1583005928,1,2
1583007851,1,0
1583021320,1,0
1583025141,2,0
1583028987,10,5
1583030892,1,1
1583032828,8,1
1583034733,0,7
1583040498,0,1
1583043373,3,2
1583045567,0,6
1583047530,0,1
1583049387,4,0
1583055144,0,1
1583057317,0,3
1583063067,0,15
1583066915,0,7
1583072696,1,0
1583078532,1,0
1583091857,0,1
1583093776,0,1
1583108259,0,1
1583112119,0,2
1583115915,0,10
1583117812,0,1
1583119729,0,8
1583130732,0,5
1583136496,0,4
1583160501,0,1
1583164335,0,1
1583265398,3,0
1583348666,2,0
1583352549,0,3
1583433856,0,2
1583609288,1,0
1583641257,3,0
1583657770,1,0
1583680094,3,0
1583697393,0,1
1583707929,1,0
1583713692,2,0
1583716842,7,0
1583718756,4,0
1583722593,1,0
1583724515,3,0
1583726542,0,3
1583740095,1,0
1583742035,1,0
1583743932,3,1
1583751686,8,0
1583755728,13,0
1583759538,3,0
1583765296,2,0
1583767260,0,3
1583772976,1,0
1583774945,1,0
1583791277,1,0
1583793136,1,1
1583800811,0,3
1583802735,2,6
1583804652,2,3
1583806598,1,0
1583810437,2,4
1583812331,1,0
1583816182,2,0
1583821958,4,0
1583824127,1,0
1583826013,1,1
1583827934,1,1
1583829851,1,3
1583837556,1,8
1583843287,0,13
1583846171,0,3
1583851894,0,2
1583857720,1,1
1583861802,0,1
1583869464,1,0
1583875219,1,0
1583877130,0,1
1583879055,1,0
1583880975,0,1
1583882889,1,0
1583887700,1,0
1583889623,6,3
1583891557,3,2
1583893474,2,1
1583897292,3,1
1583899373,0,1
1583903311,1,2
1583909052,2,5
1583912894,5,1
1583914847,0,1
1583916731,0,1
1583922492,0,1
1583943610,0,1
1583947461,1,0
1583955246,0,1
1583957325,5,0
1583961152,0,1
1583963068,1,0
1583964972,0,1
1583968812,0,1
1583970729,1,0
1583972657,1,0
1583974571,0,1
1583976490,1,7
1583978524,0,2
1583980361,1,2
1583982226,3,3
1583984173,3,1
1583989936,0,1
1583991859,1,0
1583995699,9,2
1583999530,3,5
1584005314,1,0
1584015165,1,0
1584017060,1,0
1584018974,2,0
1584034117,0,1
1584043965,1,5
1584049945,2,1
1584051856,1,0
1584057780,2,2
1584061691,4,1
1584063611,7,0
1584065539,5,0
1584067455,0,4
1584069373,5,3
1584071300,2,0
1584073213,1,0
1584075132,1,0
1584077055,0,1
1584080888,8,7
1584083789,1,1
1584085703,3,3
1584091464,0,1
1584102055,0,1
1584103934,0,1
1584105857,0,2
1584125314,4,0
1584131061,0,1
1584136979,0,2
1584138982,0,1
1584142834,0,1
1584144736,0,1
1584146657,1,0
1584148580,6,4
1584150496,2,8
1584152418,2,5
1584156254,0,3
1584158174,2,2
1584160090,0,1
1584162975,2,1
1584166823,0,7
1584168736,1,2
1584170678,1,0
1584172573,0,3
1584178335,4,0
1584184125,1,0
1584202572,2,0
1584210252,5,0
1584212170,0,4
1584218175,1,0
1584222009,2,0
1584228019,1,2
1584229937,2,0
1584231851,0,1
1584233775,0,1
1584235709,28,7
1584237735,2,1
1584239546,2,1
1584243375,9,0
1584245300,0,2
1584249135,0,2
1584254894,9,1
1584258751,2,1
1584260659,1,0
1584264500,0,4
1584270270,0,1
1584274360,1,0
1584276252,2,0
1584278178,3,0
1584287792,0,2
1584297428,0,5
1584305075,0,1
1584308915,0,2
1584314678,0,1
1584316571,0,2
1584322405,2,11
1584324287,2,0
1584326215,1,2
1584328105,4,0
1584330020,4,24
1584339628,11,1
1584341535,5,7
1584345392,5,2
1584347293,2,1
1584350173,1,0
1584359787,0,1
1584361698,0,2
1584363674,1,0
1584365536,0,3
1584373468,6,0
1584379228,1,0
1584407316,1,0
1584409213,5,1
1584411155,2,4
1584414978,0,4
1584416929,5,7
1584420748,1,0
1584426490,17,17
1584428602,1,0
1584432520,0,3
1584434416,0,1
1584436354,0,1
1584438251,2,0
1584449791,1,1
1584451702,1,0
1584456754,5,0
1584458656,4,0
1584460607,0,6
1584464899,0,1
1584468763,2,0
1584476411,1,0
1584480267,1,0
1584482169,1,1
1584484094,1,0
1584491788,1,0
1584493958,1,1
1584495859,4,7
1584497782,8,2
1584501700,1,6
1584503605,7,0
1584507373,0,1
1584509291,1,0
1584513141,6,15
1584515344,0,1
1584519179,1,0
1584523223,1,0
1584525145,0,2
